Config,Z,P_ff,I_ff,MaxR_P,MaxR_I
config_06_det1_b15_s5_h12_w1500,5,41.3983921590561,615.089943611065,,105.33293275375446
config_06_det1_b15_s5_h12_w1500,6,30.5947542861908,517.737731419071,,127.1445219779254
config_07_det1_b15_s5_h24_w50,1,1143.99309910078,724.976931135836,,9.398873612013963
config_07_det1_b15_s5_h24_w50,2,226.084029078955,415.578696008349,11.335374253968766,22.73550336261164
config_07_det1_b15_s5_h24_w50,3,95.9537592016972,309.044693901097,16.844930076152718,26.961878673947023
config_07_det1_b15_s5_h24_w50,4,55.3066653883184,243.601640148777,,27.784468387361542
config_08_det1_b15_s5_h24_w500,1,1371.96964499226,1562.09876717853,14.62341151502106,26.85358000984941
config_08_det1_b15_s5_h24_w500,2,259.641330065364,879.048720659531,26.79333308886744,38.23047155733772
config_08_det1_b15_s5_h24_w500,3,105.27554977829,661.976402363107,36.60113867426107,38.02779958171848
config_08_det1_b15_s5_h24_w500,4,59.8243642194367,522.325202955406,50.48655231381598,49.920519687704854
config_08_det1_b15_s5_h24_w500,5,40.4077641479295,425.720697172114,52.88717574843288,76.94161128931027
config_08_det1_b15_s5_h24_w500,6,30.0937750463872,358.05135977561,67.36859679357262,105.82634640246891
config_09_det1_b15_s5_h24_w1500,1,1482.77218730659,2195.12941567296,19.172934607631138,37.052872530745674
config_09_det1_b15_s5_h24_w1500,2,276.168535055985,1274.88781758312,36.644466624316586,47.475539396891136
config_09_det1_b15_s5_h24_w1500,3,110.489999377789,954.913490984421,52.87717990038753,65.63549862279231
config_09_det1_b15_s5_h24_w1500,4,62.265165672113,754.396736282332,66.4264314529585,91.29647338568893
config_09_det1_b15_s5_h24_w1500,5,41.3983921590561,615.089943611065,,117.43919227807785
config_09_det1_b15_s5_h24_w1500,6,30.5947542861908,517.737731419071,,138.5690846287747
config_10_det1_b15_s20_h4_w50,1,1143.99309910078,724.976931135836,4.486228928621454,11.372305997636316
config_10_det1_b15_s20_h4_w50,2,226.084029078955,415.578696008349,11.176761248901869,12.120110175245896
config_10_det1_b15_s20_h4_w50,3,95.9537592016972,309.044693901097,12.258921216904586,13.332674971458895
config_10_det1_b15_s20_h4_w50,4,55.3066653883184,243.601640148777,15.19460388321244,15.881238157381777
config_10_det1_b15_s20_h4_w50,5,36.993922117345,199.162959091226,19.026064667195175,32.60030361919094
config_10_det1_b15_s20_h4_w50,6,27.0813487792226,167.515272305283,,34.68671537063909
config_11_det1_b15_s20_h4_w500,1,1371.96964499226,1562.09876717853,11.838801704477158,12.3436417883287
config_11_det1_b15_s20_h4_w500,2,259.641330065364,879.048720659531,16.88182437436579,31.925498085659136
config_11_det1_b15_s20_h4_w500,3,105.27554977829,661.976402363107,33.78643151210302,40.543183328517664
config_11_det1_b15_s20_h4_w500,4,59.8243642194367,522.325202955406,45.09551195207258,45.03235287874335
config_11_det1_b15_s20_h4_w500,5,40.4077641479295,425.720697172114,57.76003197852084,45.876051045993336
config_11_det1_b15_s20_h4_w500,6,30.0937750463872,358.05135977561,,66.03285945659854
config_11_det1_b15_s20_h4_w500,7,23.5282591644182,308.420236242715,,73.57995845409663
config_11_det1_b15_s20_h4_w500,8,19.0428108742971,270.599644012954,,79.88925847630398
config_11_det1_b15_s20_h4_w500,9,15.852309192731,240.900973795346,,98.63942092588007
config_11_det1_b15_s20_h4_w500,10,13.4989773933766,217.007292249313,,99.9763997023107
config_12_det1_b15_s20_h4_w1500,1,1482.77218730659,2195.12941567296,12.93526207406224,30.691657764855908
