Config,Z,P_ff,I_ff,MaxR_P,MaxR_I,beyond_P,beyond_I,RadiusEstimator
config_55_det2_b30_s5_h4_w50,14,7.35329010871709,72.5789333035372,68.62766388272297,75.19901096424074,True,True,p95
config_55_det2_b30_s5_h4_w50,15,6.66553395622582,67.7448225492957,71.41646343806167,91.15959219961441,True,True,p95
config_55_det2_b30_s5_h4_w50,16,6.08550710316677,63.5135734450523,74.83399127401931,94.67822479324377,True,True,p95
config_55_det2_b30_s5_h4_w50,17,5.59016165342281,59.7788117000728,75.93771296266435,96.489591407571,True,True,p95
config_55_det2_b30_s5_h4_w50,18,5.1628769216908,56.4585920266622,86.23211062093,97.71996341587527,True,True,p95
config_55_det2_b30_s5_h4_w50,19,4.7910922066594,53.4876153308822,87.26601333687046,107.12231910297686,True,True,p95
config_55_det2_b30_s5_h4_w50,20,4.46481413819361,50.8136682209736,96.71753549532741,113.68837341610619,True,True,p95
config_56_det2_b30_s5_h4_w500,1,1371.96964499226,1562.09876717853,12.22523005918498,21.620042784416498,False,False,p95
config_56_det2_b30_s5_h4_w500,2,259.641330065364,879.048720659531,26.971026120635457,31.75698742009386,False,False,p95
config_56_det2_b30_s5_h4_w500,3,105.27554977829,661.976402363107,40.46011925340804,46.66155176388094,False,False,p95
config_56_det2_b30_s5_h4_w500,4,59.8243642194367,522.325202955406,48.58473357085411,57.55437646261142,False,False,p95
config_56_det2_b30_s5_h4_w500,5,40.4077641479295,425.720697172114,62.8359471162805,65.91958168859993,False,False,p95
config_56_det2_b30_s5_h4_w500,6,30.0937750463872,358.05135977561,72.5696992552677,72.03163367576775,False,False,p95
config_56_det2_b30_s5_h4_w500,7,23.5282591644182,308.420236242715,76.92849432250125,94.04300213200342,True,False,p95
config_56_det2_b30_s5_h4_w500,8,19.0428108742971,270.599644012954,89.6424209326791,98.50845437821552,True,False,p95
config_56_det2_b30_s5_h4_w500,9,15.852309192731,240.900973795346,97.55367977962314,112.41041433070157,True,False,p95
config_56_det2_b30_s5_h4_w500,10,13.4989773933766,217.007292249313,114.52698917722407,118.85249787025933,True,False,p95
config_56_det2_b30_s5_h4_w500,11,11.7063849801001,197.385914003329,118.93879203186823,125.53933646471133,True,True,p95
config_56_det2_b30_s5_h4_w500,12,10.3024927250127,174.798447942669,121.61295675214875,146.64310709902614,True,True,p95
config_56_det2_b30_s5_h4_w500,13,8.2343773807999,165.736766297224,141.00045891618436,160.3998908977185,True,True,p95
config_56_det2_b30_s5_h4_w500,14,7.1387354334877,155.114313416779,145.61883945151456,166.20958155292973,True,True,p95
config_56_det2_b30_s5_h4_w500,15,6.30992163133089,144.57194507965,170.3690846368554,172.59816047687184,True,True,p95
